age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,remark,pline,track,hhead,respond,year,returnee
42.0,9.0,2699.99951171875,2.0,0,363270.0,15903.0,41500.0,46727.3,,1.0,1.0,2.0,2.0,1.0,,3.0,0.0,0.0,1.0,1.0,1.0,2013014075,,1.0,1,1.0,1.0,2015.0,1.0
41.0,9.0,,3.0,0,277320.0,900.0,20000.0,46572.004,,1.0,1.0,2.0,2.0,1.0,,,,,0.0,1.0,1.0,2013023862,,2.0,1,1.0,0.0,2015.0,0.0
34.0,12.0,20000.00390625,2.0,0,182324.5,71964.0,,35415.996,5800.0009765625,1.0,,3.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,201105502,,3.0,1,0.0,0.0,2015.0,1.0
37.0,15.0,39999.99609375,2.0,1,697417.0,49213.0,,52447.992,,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2015006588,,1.0,0,1.0,1.0,2015.0,1.0
44.0,6.0,,4.0,0,226350.0,44585.0,,16020.0,2900.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,,0.0,0.0,1.0,2.0,2013025053,,2.0,1,1.0,1.0,2015.0,1.0
48.0,6.0,,2.0,0,188311.11,48600.0,,6220.001,,0.0,1.0,2.0,1.0,0.0,,3.0,,0.0,,3.0,2.0,2015026151,,2.0,0,0.0,0.0,2015.0,0.0
52.0,16.0,4000.001953125,3.0,2,20000000.0,500940.0,,212275.58,,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,2013022878,,2.0,1,0.0,0.0,2015.0,0.0
43.0,9.0,,2.0,0,8281.0,4646.0,,9518.0,,1.0,,2.0,,,,,,,1.0,3.0,2.0,2013023687,,3.0,1,0.0,0.0,2015.0,0.0
51.0,15.0,,3.0,0,686100.0,72000.0,,52100.0,,0.0,0.0,2.0,1.0,0.0,4.0,2.0,,0.0,,1.0,3.0,2015006450,,3.0,0,0.0,0.0,2015.0,1.0
31.0,6.0,25933.56640625,5.0,0,418786.7,90070.0,,57579.99,,0.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,,1.0,2.0,2013017015,,6.0,1,0.0,0.0,2015.0,1.0
