age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,pline,track,hhead,year,hhid_2011,hhid_2013,hhid_2015,hhid_2017,returnee
24.0,15.0,,2.0,0,674906.0,14000.0,1000.0,75140.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,,,2.0,1.0,2017036953,1,0,1.0,2017.0,.,.,.,2017036953,0.0
56.0,12.0,36000.0,3.0,0,33236.0,90335.0,240000.0,62503.0,12500.0,1.0,1.0,2.0,1.0,1.0,,,0.0,0.0,,3.0,1.0,2017007269,2,0,1.0,2017.0,.,.,.,2017007269,0.0
45.0,6.0,,3.0,0,1042952.0,520162.0,190000.0,91080.0,,0.0,1.0,2.0,1.0,0.0,3.0,3.0,,0.0,,1.0,1.0,2013017013,1,1,,2017.0,.,2013017013,2015022746,2017036116,1.0
39.0,16.0,,2.0,0,411834.0,52000.0,0.0,39220.0,,1.0,0.0,1.0,3.0,0.0,,2.0,,,,1.0,2.0,2017036724,3,0,,2017.0,.,.,.,2017036724,1.0
41.0,15.0,36000.0,2.0,1,8700500.0,454700.0,0.0,270600.0,20000.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,,0.0,0.0,1.0,1.0,2015026391,1,1,1.0,2017.0,.,.,2015026391,2017019117,1.0
44.0,12.0,,2.0,0,1799612.0,240638.0,0.0,149233.0,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2015025912,2,1,1.0,2017.0,.,.,2015025912,2017031910,1.0
59.0,9.0,10000.0,2.0,0,104850.0,29970.0,0.0,29296.0,,1.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,,1.0,3.0,201101521,2,1,1.0,2017.0,201101521,2013005548,2015007436,2017006014,0.0
57.0,12.0,45000.0,2.0,0,915730.0,79077.5,59875.0,22392.0,,1.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,,1.0,1.0,2013021988,1,1,1.0,2017.0,.,2013021988,2015030104,2017008148,1.0
40.0,9.0,,2.0,1,1137470.0,2575.0,0.0,46400.0,,1.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,,0.0,1.0,1.0,2015017782,1,1,1.0,2017.0,.,.,2015017782,2017036671,0.0
29.0,19.0,,4.0,2,2967954.0,409241.0,330000.0,157013.0,,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,2.0,1.0,2017014482,4,0,,2017.0,.,.,.,2017014482,0.0
33.0,16.0,,1.0,0,6256629.0,116575.5,,89340.0,,0.0,0.0,2.0,1.0,1.0,,,,,,1.0,1.0,2017032039,2,0,,2017.0,.,.,.,2017032039,0.0
